,county,PO_NAME,STATE,brewery_count,popDrinking,median_income,purchase_power,land_area_sqmi,brewery_capacity,brewery_density,tot_market_cap,carrying_cap_ratio,share_market_cap,split_market_cap,brewery_per_capita
0,0,Zarephath,WY,1.0,34616.0,14715.229357798165,126.08280976432634,2404.9860000000003,1,0.00041580283627430675,4364482.54280192,0.0,0,2182241,2.888837531777213e-05
1,1001,Verbena,AL,0.0,59984.0,44378.5,576.1398141317266,917.393,3,0.0,34559170.610877484,0.3333333333333333,11519723,34559170,0.0
2,1003,Uriah,AL,4.0,166180.0,41996.0,493.27674954618175,1909.3960000000002,11,0.002094903309737739,81972730.23958448,0.45454545454545453,37260331,16394546,2.407028523288001e-05
3,1005,Skipperville,AL,0.0,23200.0,36048.875,561.1510271212612,1203.125,1,0.0,13018703.82921326,1.0,13018703,13018703,0.0
4,1007,Woodstock,AL,0.0,55905.0,49721.307692307695,657.981658931746,1057.047,3,0.0,36784464.64257926,0.3333333333333333,12261488,36784464,0.0
5,1009,Warrior,AL,1.0,118063.0,43495.882352941175,578.6686167419111,1246.606,6,0.0008021780739062703,68319352.89840026,0.3333333333333333,22773117,34159676,8.470054123645851e-06
6,1011,Union Springs,AL,0.0,49357.0,34217.22222222222,403.36621315838994,1404.94,3,0.0,19908946.182858653,0.3333333333333333,6636315,19908946,0.0
7,1013,Rutledge,AL,0.0,20585.0,34948.125,509.04409917182176,1210.2959999999998,1,0.0,10478672.781451952,1.0,10478672,10478672,0.0
8,1015,Wellington,AL,1.0,103126.0,49210.92857142857,626.6596118762948,891.6129999999999,5,0.0011215628305105466,64624899.13435478,0.4,25849959,32312449,9.696875666660202e-06
9,1017,Waverly,AL,1.0,59892.0,40358.9,529.2962237712169,1117.8319999999999,2,0.0008945888111988207,31700609.43410572,1.0,31700609,15850304,1.6696720764041943e-05
10,1019,Spring Garden,AL,1.0,72037.0,38833.5,545.5562913050117,1151.4480000000003,4,0.0008684716982442973,39300238.55673912,0.5,19650119,19650119,1.3881755209128642e-05
11,1021,Verbena,AL,0.0,54926.0,45834.78571428572,654.9376534762931,1131.292,3,0.0,35973105.55483887,0.3333333333333333,11991035,35973105,0.0
12,1023,Ward,AL,0.0,12471.0,25320.81818181818,401.1950457795343,1193.2990000000002,0,0.0,5003303.415916572,0.5,2501651,5003303,0.0
13,1025,Whatley,AL,0.0,18931.0,25061.2,272.61135298772484,1387.743,0,0.0,5160805.523410619,0.5,2580402,5160805,0.0
14,1027,Wadley,AL,0.0,42064.0,32115.583333333332,492.7252740038645,1434.998,2,0.0,20725995.925698556,0.5,10362997,20725995,0.0
15,1029,Ranburne,AL,0.0,40729.0,43141.0,634.6417586704266,1039.55,2,0.0,25848324.188887805,0.5,12924162,25848324,0.0
16,1031,Troy,AL,0.0,86082.0,41144.875,592.5500316499911,1906.195,3,0.0,51007891.82449453,0.3333333333333333,17002630,51007891,0.0
17,1033,Tuscumbia,AL,0.0,61140.0,42695.555555555555,602.0043673323061,1063.4270000000001,2,0.0,36806547.018697195,0.5,18403273,36806547,0.0
18,1035,Repton,AL,0.0,83198.0,27989.8,418.2185152955266,2933.3759999999997,4,0.0,34794944.03555722,0.25,8698736,34794944,0.0
19,1037,Weogufka,AL,0.0,47212.0,42163.5,558.0303813182394,1254.7810000000002,2,0.0,26345730.362796716,0.5,13172865,26345730,0.0
20,1039,Wing,AL,0.0,34785.0,33094.07692307692,501.64081870291153,1648.419,0,0.0,17449575.87858078,0.5,8724787,17449575,0.0
21,1041,Rutledge,AL,0.0,39321.0,39377.78571428572,575.5960762351658,1829.202,1,0.0,22633013.313642956,1.0,22633013,22633013,0.0
22,1043,Vinemont,AL,2.0,105852.0,41108.65,551.7321155813152,1465.394,5,0.0013648206557417323,58401947.89851337,0.6000000000000001,35041168,19467315,1.889430525639572e-05
23,1045,Skipperville,AL,0.0,95797.0,45740.642857142855,613.4990760614048,1163.215,5,0.0,58771370.989454396,0.2,11754274,58771370,0.0
24,1047,Tyler,AL,0.0,31226.0,29105.6,421.4627404895474,1413.2969999999998,1,0.0,13160595.534526607,1.0,13160595,13160595,0.0
25,1049,Valley Head,AL,1.0,100460.0,36920.833333333336,517.7806531258783,1459.1090000000004,2,0.0006853497579687328,52016244.41302574,1.0,52016244,26008122,9.954210631096954e-06
26,1051,Wetumpka,AL,0.0,116511.0,52203.8,604.895459847491,1485.5400000000002,6,0.0,70476974.92229103,0.16666666666666666,11746162,70476974,0.0
27,1053,Wing,AL,0.0,40576.0,41075.11111111111,516.357425102365,1594.2810000000002,2,0.0,20951718.88095356,0.5,10475859,20951718,0.0
28,1055,Walnut Grove,AL,1.0,120048.0,46040.0,606.4894140834731,1355.1750000000002,6,0.0007379120777759329,72807841.18189278,0.3333333333333333,24269280,36403920,8.330001332800213e-06
29,1057,Winfield,AL,0.0,27466.0,33261.0,527.2607820483073,1252.434,0,0.0,14481744.63973881,0.5,7240872,14481744,0.0
30,1059,Vina,AL,0.0,52047.0,37660.333333333336,534.6945687719632,1515.785,2,0.0,27829248.22087437,0.5,13914624,27829248,0.0
31,1061,Samson,AL,1.0,80139.0,43910.8,550.1959260726856,1309.655,3,0.0007635598688204145,44092151.31953895,0.6666666666666666,29394767,22046075,1.247831892087498e-05
32,1063,West Greene,AL,0.0,8996.0,31541.285714285714,405.5304780319563,756.762,0,0.0,3648152.180375479,0.5,1824076,3648152,0.0
33,1065,Uniontown,AL,0.0,20459.0,31818.222222222223,449.42826323448537,1389.221,0,0.0,9194852.837514335,0.5,4597426,9194852,0.0
34,1067,Shorterville,AL,0.0,46549.0,41201.0,587.5632985369949,1006.0830000000001,2,0.0,27350483.983598575,0.5,13675241,27350483,0.0
35,1069,Webb,AL,1.0,94766.0,43014.142857142855,570.3901488502655,965.0980000000002,5,0.0010361642030135797,54053592.84594426,0.4,21621437,27026796,1.055230778971361e-05
